1614442500000,46755.93000000,46947.31000000,46680.06000000,46944.39000000,595.62712800,1614443399999,27884004.64602611,18169,289.18872100,13539973.43785348,0
1614443400000,46940.51000000,46949.96000000,46615.46000000,46842.61000000,406.88489900,1614444299999,19035108.21557852,12118,174.47964500,8163625.52550995,0
1614444300000,46837.28000000,46929.62000000,46725.93000000,46883.19000000,385.74916100,1614445199999,18071391.71186079,13474,203.45573300,9532022.59087421,0
1614445200000,46883.19000000,46929.99000000,46700.00000000,46876.95000000,406.83091900,1614446099999,19050223.71789956,13768,181.46999900,8497482.78467809,0
1614446100000,46877.54000000,47177.00000000,46851.37000000,46997.11000000,503.74516700,1614446999999,23696118.05847416,14433,245.05062800,11527005.96798250,0
1614447000000,46995.86000000,47080.92000000,46823.14000000,46909.47000000,332.32211400,1614447899999,15604558.19148711,11270,158.75981300,7454155.58470404,0
1614447900000,46909.47000000,47075.97000000,46823.42000000,47042.53000000,429.34211500,1614448799999,20164566.82883029,11740,220.00538400,10331872.97849548,0
1614448800000,47041.13000000,47150.01000000,46900.00000000,46972.84000000,460.38565700,1614449699999,21659980.78082449,12079,203.76058700,9586133.92185755,0
1614449700000,46972.85000000,47086.19000000,46901.52000000,47042.11000000,237.06985800,1614450599999,11138748.70043689,8708,127.98312400,6013219.69750817,0
1614450600000,47042.11000000,47329.17000000,47040.81000000,47251.98000000,519.45794700,1614451499999,24527726.84265905,15424,296.06360400,13978421.83805709,0
1614451500000,47251.99000000,47309.89000000,47100.00000000,47136.30000000,240.82991700,1614452399999,11360606.79275024,10581,102.05465600,4814169.40974731,0
1614452400000,47136.29000000,47450.26000000,47028.59000000,47397.89000000,539.17296100,1614453299999,25492014.56597429,19338,304.21354700,14384604.93417606,0
1614453300000,47397.88000000,47397.89000000,47068.17000000,47184.17000000,441.21333400,1614454199999,20842295.90637528,15506,174.23885700,8233227.59626362,0
1614454200000,47184.17000000,47284.97000000,47159.59000000,47256.95000000,290.77222800,1614455099999,13732293.54042652,11326,138.52148000,6542177.02395986,0
1614455100000,47256.95000000,47450.00000000,47254.40000000,47405.39000000,413.77647700,1614455999999,19591635.61016896,14761,217.02983300,10276652.73560306,0
1614456000000,47405.38000000,47557.14000000,47180.01000000,47260.85000000,482.28452600,1614456899999,22845130.23894583,16345,277.95763300,13171055.53970671,0
1614456900000,47260.84000000,47400.00000000,47236.03000000,47324.96000000,311.77511100,1614457799999,14759214.54307471,11852,171.93643400,8138722.29124870,0
1614457800000,47324.96000000,47388.46000000,46903.93000000,46997.19000000,622.78845000,1614458699999,29369187.69612085,16307,298.54107500,14075942.29820140,0
1614458700000,46997.19000000,47244.39000000,46900.00000000,47081.07000000,451.97938500,1614459599999,21272652.87829663,13629,250.30360600,11782025.88185590,0
1614459600000,47083.43000000,47170.00000000,46907.19000000,47114.99000000,550.83719100,1614460499999,25944250.69008798,13209,225.08908700,10605218.40576365,0
1614460500000,47114.99000000,47154.02000000,46940.23000000,47048.75000000,309.91301700,1614461399999,14579189.82530289,10941,146.79642900,6906460.36477793,0
1614461400000,47052.47000000,47098.12000000,46596.01000000,46728.01000000,585.38354700,1614462299999,27428558.89122063,15910,258.62715900,12120522.00790495,0
1614462300000,46725.96000000,46850.64000000,46534.13000000,46825.30000000,523.84922400,1614463199999,24466277.37175645,13076,248.56008400,11608096.61537878,0
1614463200000,46825.30000000,46870.31000000,46554.32000000,46589.57000000,519.94722200,1614464099999,24280435.93943838,15068,249.35483500,11646185.74184854,0
1614464100000,46580.21000000,46595.10000000,46215.71000000,46337.28000000,794.80148800,1614464999999,36889933.98003434,24469,320.05531200,14856328.69597206,0
1614465000000,46333.74000000,46697.49000000,46323.94000000,46551.04000000,324.28860700,1614465899999,15088448.17081625,11845,165.25196500,7689416.33978925,0
1614465900000,46551.18000000,46567.65000000,45742.00000000,45828.43000000,954.29559700,1614466799999,44020046.83883090,26179,379.71494100,17519891.13767265,0
1614466800000,45828.44000000,45963.73000000,45401.01000000,45425.79000000,2006.59940900,1614467699999,91533763.97971754,47585,843.20916900,38474786.80763390,0
1614467700000,45425.77000000,45629.01000000,45000.00000000,45170.47000000,2115.64334500,1614468599999,95729212.19108430,45455,850.70769600,38501637.74659106,0
1614468600000,45174.49000000,45795.00000000,45088.70000000,45710.38000000,1490.72564800,1614469499999,67862378.16538009,33831,695.51267500,31667592.98086593,0
1614469500000,45717.04000000,46441.41000000,45680.85000000,46106.43000000,1302.76086400,1614470399999,60082930.27369106,28009,624.94376400,28822989.96959893,0
1614470400000,46103.67000000,46360.98000000,45588.11000000,46142.23000000,1292.43643800,1614471299999,59354712.94666972,28392,674.90877500,30991008.67174502,0
1614471300000,46135.01000000,46582.26000000,46130.00000000,46255.95000000,908.22796100,1614472199999,42119716.10870039,18248,514.96521600,23879576.40052828,0
1614472200000,46252.91000000,46390.68000000,46010.00000000,46128.20000000,491.11520100,1614473099999,22676341.79108723,13929,210.43296500,9717354.71660273,0
1614473100000,46128.21000000,46638.46000000,46112.71000000,46345.94000000,478.01754600,1614473999999,22192474.58929044,12553,259.28003800,12036369.79451621,0
1614474000000,46345.93000000,46533.36000000,46196.82000000,46458.13000000,380.92770700,1614474899999,17673641.95921712,11456,182.04947100,8446688.45412567,0
1614474900000,46457.88000000,46600.00000000,46252.97000000,46469.65000000,445.70164600,1614475799999,20712153.84652295,11071,237.79051300,11053865.03210068,0
1614475800000,46462.30000000,46489.21000000,46100.00000000,46277.27000000,647.84630000,1614476699999,29977640.36959950,13596,299.60866200,13869174.58135909,0
